category.name,category.desc,project.name,project.link,link.git,project.desc
Compression,Compression and Archiving Libraries,bit7z,https://github.com/rikyoz/bit7z,true,A C++ static library offering a clean and simple interface to the 7-zip DLLs.
Compression,Compression and Archiving Libraries,Brotli,https://github.com/google/brotli,true,Brotli compression format. Developed by Google.
Compression,Compression and Archiving Libraries,bzip2,http://www.bzip.org/,false,"A freely available, patent free, high-quality data compressor."
Compression,Compression and Archiving Libraries,FiniteStateEntropy,https://github.com/Cyan4973/FiniteStateEntropy,true,New generation entropy codecs : Finite State Entropy and Huff0.
Compression,Compression and Archiving Libraries,PhysicsFS,https://icculus.org/physfs/,false,"A library to provide abstract access to various archives. It is intended for use in video games, and the design was somewhat inspired by Quake 3's file subsystem."
Compression,Compression and Archiving Libraries,KArchive,https://quickgit.kde.org/?p=karchive.git,false,"A library for creating, reading, writing and manipulating file archives like zip and tar. It also provides transparent compression and decompression of data, using formats like gzip, via a subclass of QIODevice."
Compression,Compression and Archiving Libraries,libarchive,https://github.com/libarchive/libarchive,true,Multi-format archive and compression library.
Compression,Compression and Archiving Libraries,LZ4,https://github.com/lz4/lz4,true,Extremely Fast Compression algorithm.
Compression,Compression and Archiving Libraries,LZFSE,https://github.com/lzfse/lzfse,true,LZFSE compression library and command line tool. Developed by Apple.
Compression,Compression and Archiving Libraries,LZHAM,https://code.google.com/p/lzham/,false,Lossless data compression library with a compression ratio similar to LZMA but with much faster decompression.
Compression,Compression and Archiving Libraries,LZMA,http://www.7-zip.org/sdk.html,false,The default and general compression method of 7z format.
Compression,Compression and Archiving Libraries,LZMAT,http://www.matcode.com/lzmat.htm,false,An extremely fast real-time lossless data compression library.
Compression,Compression and Archiving Libraries,miniz,https://github.com/richgel999/miniz,true,"Single C source file Deflate/Inflate compression library with zlib-compatible API, ZIP archive reading/writing, PNG writing."
Compression,Compression and Archiving Libraries,Minizip,https://github.com/nmoinvaz/minizip,true,"Zlib with latest bug fixes that supports PKWARE disk spanning, AES encryption, and IO buffering."
Compression,Compression and Archiving Libraries,smaz,https://github.com/antirez/smaz,true,Small strings compression library.
Compression,Compression and Archiving Libraries,Snappy,https://google.github.io/snappy/,false,A fast compressor/decompressor.
Compression,Compression and Archiving Libraries,ZLib,http://zlib.net/,false,A very compact compression library for data streams.
Compression,Compression and Archiving Libraries,zlib-ng,https://github.com/Dead2/zlib-ng,true,"zlib for the ""next generation"" systems. Drop-In replacement with some serious optimizations."
Compression,Compression and Archiving Libraries,zstd,https://github.com/facebook/zstd,true,Zstandard
Compression,Compression and Archiving Libraries,ZZIPlib,http://zziplib.sourceforge.net/,false,Provides read access on ZIP-archives.
Concurrency,Concurrency and Multithreading,alpaka,https://github.com/ComputationalRadiationPhysics/alpaka,true,Abstraction library for parallel kernel acceleration.
Concurrency,Concurrency and Multithreading,ArrayFire,https://github.com/arrayfire/arrayfire,true,A general purpose GPU library.
Concurrency,Concurrency and Multithreading,Async++,https://github.com/Amanieu/asyncplusplus,true,"A lightweight concurrency framework for C++11, inspired by the Microsoft PPL library and the N3428 C++ standard proposal."
Concurrency,Concurrency and Multithreading,Boost.Compute,https://github.com/boostorg/compute,true,A C++ GPU Computing Library for OpenCL.
Concurrency,Concurrency and Multithreading,Bolt,https://github.com/HSA-Libraries/Bolt,true,A C++ template library optimized for GPUs.
Concurrency,Concurrency and Multithreading,ck,https://github.com/concurrencykit/ck,true,"Concurrency primitives, safe memory reclamation mechanisms and non-blocking data structures."
Concurrency,Concurrency and Multithreading,concurrentqueue,https://github.com/cameron314/concurrentqueue,true,"A fast multi-producer, multi-consumer lock-free concurrent queue for C++11."
Concurrency,Concurrency and Multithreading,Cpp-Taskflow,https://github.com/cpp-taskflow/cpp-taskflow,true,Fast C++ Parallel Programming with Task Dependencies.
Concurrency,Concurrency and Multithreading,CUB,https://github.com/NVlabs/cub,true,"CUB provides state-of-the-art, reusable software components for every layer of the CUDA programming mode."
Concurrency,Concurrency and Multithreading,cupla,https://github.com/ComputationalRadiationPhysics/cupla,true,"C++ API to run CUDA/C++ on OpenMP, Threads, TBB, ... through Alpaka."
Concurrency,Concurrency and Multithreading,C++React,https://github.com/schlangster/cpp.react,true,A reactive programming library for C++11.
Concurrency,Concurrency and Multithreading,FiberTaskingLib,https://github.com/RichieSams/FiberTaskingLib,true,Task-based multi-threading library that supports task graphs with arbitrary dependencies.
Concurrency,Concurrency and Multithreading,HPX,https://github.com/STEllAR-GROUP/hpx/,true,A general purpose C++ runtime system for parallel and distributed applications of any scale.
Concurrency,Concurrency and Multithreading,Intel Games Task Scheduler,https://github.com/GameTechDev/GTS-GamesTaskScheduler,true,A task scheduling framework designed for the needs of game developers.
Concurrency,Concurrency and Multithreading,Intel Parallel STL,https://github.com/intel/parallelstl,true,Intel® implementation of C++17 STL for C++11 and above.
Concurrency,Concurrency and Multithreading,Intel TBB,https://www.threadingbuildingblocks.org/,false,Intel® Threading Building Blocks.
Concurrency,Concurrency and Multithreading,junction,https://github.com/preshing/junction,true,A library of concurrent data structures in C++.
Concurrency,Concurrency and Multithreading,Kokkos,https://github.com/kokkos/kokkos,true,A performance portable programming model for parallel execution and memory abstraction.
Concurrency,Concurrency and Multithreading,libcds,https://github.com/khizmax/libcds,true,A C++ library of Concurrent Data Structures.
Concurrency,Concurrency and Multithreading,Libclsph,https://github.com/libclsph/libclsph,true,An OpenCL based GPU accelerated SPH fluid simulation library.
Concurrency,Concurrency and Multithreading,libdill,https://github.com/sustrik/libdill/,true,Introduces structured concurrency in C.
Concurrency,Concurrency and Multithreading,libdispatch,https://github.com/apple/swift-corelibs-libdispatch,true,Grand Central Dispatch
Concurrency,Concurrency and Multithreading,libmill,https://github.com/sustrik/libmill/,true,Introduces Go-style concurrency in C.
Concurrency,Concurrency and Multithreading,marl,https://github.com/google/marl,true,Marl is a hybrid thread / fiber task scheduler written in C++ 11.
Concurrency,Concurrency and Multithreading,moderngpu,https://github.com/moderngpu/moderngpu,true,moderngpu is a productivity library for general-purpose computing on GPUs. It is a header-only C++ library written for CUDA. The unique value of the library is in its accelerated primitives for solving irregularly parallel problems.
Concurrency,Concurrency and Multithreading,NCCL,https://github.com/NVIDIA/nccl,true,Optimized primitives for collective multi-GPU communication.
Concurrency,Concurrency and Multithreading,OpenCL,https://www.khronos.org/opencl/,false,The open standard for parallel programming of heterogeneous systems.
Concurrency,Concurrency and Multithreading,OpenMP,http://openmp.org/,false,The OpenMP API.
Concurrency,Concurrency and Multithreading,SObjectizer,https://github.com/Stiffstream/sobjectizer,true,"An implementation of Actor, Publish-Subscribe, and CSP models in one rather small C++ framework."
Concurrency,Concurrency and Multithreading,Quantum,https://github.com/bloomberg/quantum,true,A powerful C++ coroutine dispatcher framework built on top of
