category.name,category.desc,project.name,project.link,link.git,project.branch,project.desc
Bean Mapping,Frameworks that ease bean mapping.,dOOv,https://github.com/doov-io/doov,true,master,"Provides fluent API for typesafe domain model validation and mapping. It uses annotations, code generation and a type safe DSL to make bean validation and mapping fast and easy."
Bean Mapping,Frameworks that ease bean mapping.,Dozer,https://github.com/DozerMapper/dozer,true,master,Mapper that copies data from one object to another using annotations and API or XML configuration.
Bean Mapping,Frameworks that ease bean mapping.,JMapper,https://github.com/jmapper-framework/jmapper-core,true,master,Uses byte code manipulation for lightning-fast mapping. Supports annotations and API or XML configuration.
Bean Mapping,Frameworks that ease bean mapping.,MapStruct,https://github.com/mapstruct/mapstruct,true,master,"Code generator that simplifies mappings between different bean types, based on a convention-over-configuration approach."
Bean Mapping,Frameworks that ease bean mapping.,ModelMapper,https://github.com/modelmapper/modelmapper,true,master,Intelligent object mapping library that automatically maps objects to each other.
Bean Mapping,Frameworks that ease bean mapping.,Orika,https://github.com/orika-mapper/orika,true,master,JavaBean-mapping framework that recursively copies
Bean Mapping,Frameworks that ease bean mapping.,reMap,https://github.com/remondis-it/remap,true,develop,Lambda and method handle-based mapping which requires code and not annotations if objects have different names.
Bean Mapping,Frameworks that ease bean mapping.,Selma,https://github.com/xebia-france/selma,true,master,Annotation processor-based bean mapper.
Build,Tools that handle the build cycle and dependencies of an application.,Apache Maven,https://gitbox.apache.org/repos/asf/maven.git,true,,"Declarative build and dependency management that favors convention over configuration. It might be preferable to Apache Ant, which uses a rather procedural approach and can be difficult to maintain."
Build,Tools that handle the build cycle and dependencies of an application.,Bazel,https://github.com/bazelbuild/bazel.git,true,,Tool from Google that builds code quickly and reliably.
Build,Tools that handle the build cycle and dependencies of an application.,Buck,https://github.com/facebook/buck,true,master,"Encourages the creation of small, reusable modules consisting of code and resources."
Build,Tools that handle the build cycle and dependencies of an application.,Gradle,https://github.com/gradle/gradle.git,true,,Incremental builds programmed via Groovy instead of declaring XML. Works well with Maven's dependency management.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,ASM,https://gitlab.ow2.org/asm/asm.git,true,,"All-purpose, low-level bytecode manipulation and analysis."
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Byte Buddy,https://github.com/raphw/byte-buddy.git,true,,Further simplifies bytecode generation with a fluent API.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,true,master,Java 8 Jar & Android APK reverse engineering suite.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Byteman,https://github.com/bytemanproject/byteman.git,true,,Manipulate bytecode at runtime via DSL
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,cglib,https://github.com/cglib/cglib,true,master,Bytecode generation library.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Javassist,https://github.com/jboss-javassist/javassist,true,master,Tries to simplify bytecode editing.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Mixin,https://github.com/SpongePowered/Mixin,true,master,Manipulate bytecode at runtime using real Java code.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Perses,https://github.com/nicolasmanic/perses,true,master,Dynamically injects failure/latency at the bytecode level according to principles of chaos engineering.
Caching,Libraries that provide caching facilities.,cache2k,https://github.com/cache2k/cache2k.git,true,,In-memory high performance caching library.
Caching,Libraries that provide caching facilities.,Caffeine,https://github.com/ben-manes/caffeine,true,master,"High-performance, near-optimal caching library."
Caching,Libraries that provide caching facilities.,Ehcache,https://github.com/ehcache/ehcache3.git,true,,Distributed general-purpose cache.
Caching,Libraries that provide caching facilities.,Infinispan,https://github.com/infinispan/infinispan.git,true,,Highly concurrent key/value datastore used for caching.
CLI,Libraries for everything related to the CLI.,ASCII Table,https://github.com/vdmeer/asciitable,true,master,Library to draw tables in ASCII.
CLI,Libraries for everything related to the CLI.,Airline,https://github.com/airlift/airline,true,master,Annotation-based framework for parsing Git-like command-line arguments.
CLI,Libraries for everything related to the CLI.,args4j,https://github.com/kohsuke/args4j.git,true,,Small library to parse command-line arguments.
CLI,Libraries for everything related to the CLI.,Jansi,https://github.com/fusesource/jansi,true,master,ANSI escape codes to format console output.
CLI,Libraries for everything related to the CLI.,Java ASCII Render,https://github.com/indvd00m/java-ascii-render,true,master,Graphical primitives for the console.
CLI,Libraries for everything related to the CLI.,JCommander,https://github.com/cbeust/jcommander.git,true,,Command-line argument-parsing framework with custom types and validation via implementing interfaces.
CLI,Libraries for everything related to the CLI.,jbock,https://github.com/h908714124/jbock,true,master,"Typesafe, reflection-free, annotation based command-line parser."
CLI,Libraries for everything related to the CLI.,Jexer,https://gitlab.com/klamonte/jexer,true,master,Advanced console
CLI,Libraries for everything related to the CLI.,JLine,https://github.com/jline/jline3,true,master,Includes features from modern shells like completion or history.
CLI,Libraries for everything related to the CLI.,JOpt Simple,https://github.com/jopt-simple/jopt-simple.git,true,,Fluent parser that uses the POSIX#getopt and GNU#getopt_long syntaxes.
CLI,Libraries for everything related to the CLI.,picocli,https://github.com/remkop/picocli.git,true,,"ANSI colors and styles in usage help with annotation-based POSIX/GNU/any syntax, subcommands, strong typing for both options and positional args."
CLI,Libraries for everything related to the CLI.,Text-IO,https://github.com/beryx/text-io,true,master,Aids the creation of full console-based applications.
CLI,Libraries for everything related to the CLI.,Lanterna,https://github.com/mabe02/lanterna,true,master,"Easy console text-GUI library, similar to curses."
Cluster Management,Frameworks that can dynamically manage applications inside of a cluster.,Apache Aurora,https://gitbox.apache.org/repos/asf/attic-aurora.git,true,,Mesos framework for long-running services and cron jobs.
Cluster Management,Frameworks that can dynamically manage applications inside of a cluster.,Singularity,https://github.com/HubSpot/Singularity.git,true,,"Mesos framework that makes deployment and operations easy. It supports web services, background workers, scheduled jobs, and one-off tasks."
Code Analysis,Tools that provide metrics and quality measurements.,Checkstyle,https://github.com/checkstyle/checkstyle,true,master,Static analysis of coding conventions and standards.
Code Analysis,Tools that provide metrics and quality measurements.,Error Prone,https://github.com/google/error-prone,true,master,Catches common programming mistakes as compile-time errors.
Code Analysis,Tools that provide metrics and quality measurements.,Infer,https://github.com/facebook/infer,true,master,Modern static analysis tool for verifying the correctness of code.
